Naam;wkt;Toelichting
Stuw Driel <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/stuwensemble-nederrijn-en-lek' >(i)</a>;LineString (5.8069 51.96303, 5.8060 51.96403);Open bij Lobith circa 11,5. Dicht bij Lobith circa 1700 m3/s
Stormvloedkering Ramspol <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/stormvloedkeringen/stormvloedkering-ramspol' >(i)</a>;LineString (5.8392 52.6139, 5.84105 52.6104);50cm
Hartelkering <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/deltawerken/hartelkering' >(i)</a>;LineString (4.3068 51.86645, 4.30686 51.8646);3 m Rdam of 2,90 m Dordrecht
