SITENAME;lng;lat
Polder Zeevang;5.0207985;52.5418563
Zwin & Kievittepolder;3.3728393;51.3686292
Duinen Schiermonnikoog;6.173816;53.4875533
Duinen Ameland;5.7519079;53.4556734
Engbertsdijksvenen;6.6688166;52.4692243
Duinen en Lage Land Texel;4.7752969;53.0860326
Duinen Terschelling;5.3115565;53.4007678
De Wieden;6.0539474;52.6989025
Lingegebied & Diefdijk-Zuid;5.0865944;51.8812094
Brabantse Wal;4.3623818;51.4235481
Alde Feanen;5.9255097;53.1244574
Zoommeer;4.2156841;51.4983628
Uiterwaarden <br>Zwarte Water <br>en Vecht;6.0875965;52.5927641
Sallandse Heuvelrug;6.4099377;52.3381169
Drents-Friese Wold <br>& Leggelderveld;6.304434;52.9018649
IJsselmeer;5.3559309;52.8223773
Leudal;5.9445097;51.2490577
Loonse en Drunense Duinen <br><br>& Leemkuilen;5.1324289;51.6461062
Markermeer & IJmeer;5.2204657;52.5334752
Rottige Meenthe <br>& Brandemeer;5.8986365;52.8429818
Weerter- en Budelerbergen <br>& Ringselven;5.6320047;51.2577685
Oudeland van Strijen;4.5203767;51.763117
Donkse Laagten;4.7685726;51.8862254
Boezems <br> Kinderdijk;4.6487014;51.8801927
De Wilck;4.5489835;52.1146491
Borkeld;6.5019823;52.2724151
Duinen Vlieland;5.0031874;53.2787641
Maasduinen;6.0987874;51.583578
Regte Heide & <br>Riels Laag;5.0259013;51.50318
Zwanenwater & <br>Pettemerduinen;4.6919978;52.8137793
Voornes<br> Duin;4.0635807;51.8938938
